SHIPMENT_ID,SHIPMENT_DATE,ORDER_CREATED_TS_UTC,LAST_EVENT_TS_UTC,DELIVERED_TS_UTC,OFFICE_CODE,OFFICE_NAME,CITY,REGION,HUB_TYPE,CUSTOMER_CODE,CUSTOMER_NAME,CUSTOMER_SEGMENT,CUSTOMER_TYPE,PREFERRED_SERVICE_CODE,SERVICE_CODE,SERVICE_NAME,PRIORITY_LEVEL,SLA_HOURS,TEMPERATURE_CONTROL_FLAG,DEST_POSTAL_CODE,DEST_CITY,DEST_REGION,ROUTE_CODE,CARRIER_MODE,WEIGHT_KG,WEIGHT_BAND_RAW,BASE_PRICE_EUR,FUEL_SURCHARGE_EUR,TOTAL_PRICE_EUR,DELIVERY_STATUS,ATTEMPT_COUNT,SOURCE_SYSTEM,SOURCE_PLATFORM,SAP_DOCUMENT_NO,SNOWFLAKE_BATCH_ID,EXTRACT_TS_UTC
PC-2026-0011,2026-05-03,2026-05-03T07:00:00Z,2026-05-03T21:00:00Z,2026-05-04T03:00:00Z,SEV01,ParcelCraft Sevilla Cartuja,Sevilla,Sur,Regional Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,EXP,Express,High,24,False,28011,Sevilla,Sur,R-SEV01-02,Van,12.7,10+ kg,13.71,0.96,14.67,Delivered,1.0,SAP_S4,Snowflake,8026050011,SF_BATCH_20260505,2026-05-21T07:17:00Z
PC-2026-0012,2026-05-03,2026-05-03T08:00:00Z,2026-05-03T22:00:00Z,,ZAR01,ParcelCraft Zaragoza Plataforma,Zaragoza,Noreste,National Hub,CUST-101,Fabrikam Urban Shop,SMB,B2B,EXP,EXP,Express,High,24,False,28012,Zaragoza,Noreste,R-ZAR01-01,Linehaul,0.8,0-1 kg,10.14,0.71,10.85,Exception,2.0,SAP_S4,Snowflake,8026050012,SF_BATCH_20260505,2026-05-21T07:24:00Z
PC-2026-0013,2026-05-04,2026-05-04T09:00:00Z,2026-05-04T23:00:00Z,2026-05-05T05:00:00Z,MAD01,ParcelCraft Madrid Centro,Madrid,Centro,Urban Hub,CUST-102,Alpine Electronics,Enterprise,B2B,STD,STD,Standard,Normal,48,False,28013,Madrid,Centro,R-MAD01-02,Van,1.4,1-5 kg,6.92,0.48,7.4,Delivered,1.0,SAP_S4,Snowflake,8026050013,SF_BATCH_20260505,2026-05-21T07:31:00Z
PC-2026-0014,2026-05-04,2026-05-04T10:00:00Z,2026-05-05T00:00:00Z,2026-05-05T06:00:00Z,MAD02,ParcelCraft Madrid Sur,Fuenlabrada,Centro,Distribution Hub,CUST-103,CityCare Pharmacy,SMB,B2B,SAM,SAM,Same Day,Critical,12,False,28014,Fuenlabrada,Centro,R-MAD02-01,Van,3.2,1-5 kg,14.46,1.01,15.47,Returned,2.0,SAP_ECC,Snowflake,8026050014,SF_BATCH_20260505,2026-05-21T07:38:00Z
PC-2026-0015,2026-05-04,2026-05-04T06:00:00Z,2026-05-04T20:00:00Z,2026-05-05T02:00:00Z,BCN01,ParcelCraft Barcelona Litoral,Barcelona,Este,Urban Hub,CUST-104,Contoso Market,MidMarket,B2B,STD,ECO,Economy,Low,72,False,28015,Barcelona,Este,R-BCN01-02,Van,6.1,5-10 kg,10.03,0.7,10.73,Delivered,1.0,SAP_S4,Snowflake,8026050015,SF_BATCH_20260505,2026-05-21T07:45:00Z
PC-2026-0016,2026-05-04,2026-05-04T07:00:00Z,2026-05-04T21:00:00Z,,VAL02,ParcelCraft Valencia Norte,Valencia,Este,Regional Hub,CUST-105,BlueYonder Home,SMB,B2C,STD,STD,Standard,Normal,48,False,28016,Valencia,Este,R-VAL02-01,Van,9.4,5-10 kg,9.32,0.65,9.97,In Transit,0.0,SAP_S4,Snowflake,8026050016,SF_BATCH_20260505,2026-05-21T07:52:00Z
PC-2026-0017,2026-05-05,2026-05-05T08:00:00Z,2026-05-05T22:00:00Z,2026-05-06T04:00:00Z,SEV01,ParcelCraft Sevilla Cartuja,Sevilla,Sur,Regional Hub,CUST-106,Adventure Hub,MidMarket,B2C,ECO,ECO,Economy,Low,72,False,28017,Sevilla,Sur,R-SEV01-02,Van,12.7,10+ kg,12.01,0.84,12.85,Delivered,1.0,SAP_S4,Snowflake,8026050017,SF_BATCH_20260505,2026-05-21T07:59:00Z
PC-2026-0018,2026-05-05,2026-05-05T09:00:00Z,2026-05-05T23:00:00Z,,ZAR01,ParcelCraft Zaragoza Plataforma,Zaragoza,Noreste,National Hub,CUST-107,MetroBooks,SMB,B2C,SAM,SAM,Same Day,Critical,12,False,28018,Zaragoza,Noreste,R-ZAR01-01,Linehaul,0.8,0-1 kg,13.74,0.96,14.7,In Transit,0.0,ParcelOps,Snowflake,8026050018,SF_BATCH_20260505,2026-05-21T08:06:00Z
PC-2026-0019,2026-05-05,2026-05-05T10:00:00Z,2026-05-06T00:00:00Z,2026-05-06T06:00:00Z,MAD01,ParcelCraft Madrid Centro,Madrid,Centro,Urban Hub,CUST-108,GreenFoods Direct,Enterprise,B2B,EXP,EXP,Express,High,24,False,28019,Madrid,Centro,R-MAD01-02,Van,1.4,,10.32,0.72,11.04,Delivered,1.0,SAP_ECC,Snowflake,8026050019,SF_BATCH_20260505,2026-05-21T08:13:00Z
PC-2026-0020,2026-05-05,2026-05-05T06:00:00Z,2026-05-05T20:00:00Z,,MAD02,ParcelCraft Madrid Sur,Fuenlabrada,Centro,Distribution Hub,CUST-109,UrbanNest,SMB,B2C,ECO,STD,Standard,Normal,48,False,28020,Fuenlabrada,Centro,R-MAD02-01,Van,3.2,1-5 kg,7.46,0.52,7.98,Exception,2.0,ParcelOps,Snowflake,8026050020,SF_BATCH_20260505,2026-05-21T08:20:00Z
PC-2026-0021,2026-05-06,2026-05-06T07:00:00Z,2026-05-06T21:00:00Z,2026-05-07T03:00:00Z,BCN01,ParcelCraft Barcelona Litoral,Barcelona,Este,Urban Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,EXP,Express,High,24,False,28021,Barcelona,Este,R-BCN01-02,Van,6.1,5-10 kg,11.73,0.82,12.55,Delivered,1.0,SAP_S4,Snowflake,8026050021,SF_BATCH_20260505,2026-05-21T08:27:00Z
PC-2026-0022,2026-05-06,2026-05-06T08:00:00Z,2026-05-06T22:00:00Z,2026-05-07T04:00:00Z,VAL02,ParcelCraft Valencia Norte,Valencia,Este,Regional Hub,CUST-101,Fabrikam Urban Shop,SMB,B2B,EXP,EXP,Express,High,24,False,28022,Valencia,Este,R-VAL02-01,Van,9.4,5-10 kg,12.72,0.89,13.61,Returned,2.0,SAP_S4,Snowflake,8026050022,SF_BATCH_20260505,2026-05-21T08:34:00Z
PC-2026-0023,2026-05-06,2026-05-06T09:00:00Z,2026-05-06T23:00:00Z,2026-05-07T05:00:00Z,SEV01,ParcelCraft Sevilla Cartuja,Sevilla,Sur,Regional Hub,CUST-102,Alpine Electronics,Enterprise,B2B,STD,STD,Standard,Normal,48,False,28023,Sevilla,Sur,R-SEV01-02,Van,12.7,10+ kg,10.31,0.72,11.03,Delivered,1.0,ParcelOps,Snowflake,8026050023,SF_BATCH_20260505,2026-05-21T08:41:00Z
PC-2026-0024,2026-05-06,2026-05-06T10:00:00Z,2026-05-07T00:00:00Z,,ZAR01,ParcelCraft Zaragoza Plataforma,Zaragoza,Noreste,National Hub,CUST-103,CityCare Pharmacy,SMB,B2B,SAM,SAM,Same Day,Critical,12,False,28024,Zaragoza,Noreste,R-ZAR01-01,Linehaul,0.8,0-1 kg,13.74,0.96,14.7,In Transit,0.0,ParcelOps,Snowflake,8026050024,SF_BATCH_20260505,2026-05-21T08:48:00Z
PC-2026-0025,2026-05-07,2026-05-07T06:00:00Z,2026-05-07T20:00:00Z,2026-05-08T02:00:00Z,MAD01,ParcelCraft Madrid Centro,Madrid,Centro,Urban Hub,CUST-104,Contoso Market,MidMarket,B2B,STD,STD,Standard,Normal,48,False,28025,Madrid,Centro,R-MAD01-02,Van,1.4,1-5 kg,6.92,0.48,7.4,Delivered,1.0,ParcelOps,Snowflake,8026050025,SF_BATCH_20260505,2026-05-21T08:55:00Z
PC-2026-0026,2026-05-07,2026-05-07T07:00:00Z,2026-05-07T21:00:00Z,,MAD02,ParcelCraft Madrid Sur,Fuenlabrada,Centro,Distribution Hub,CUST-105,BlueYonder Home,SMB,B2C,STD,STD,Standard,Normal,48,False,28026,Fuenlabrada,Centro,R-MAD02-01,Van,3.2,1-5 kg,7.46,0.52,7.98,In Transit,0.0,ParcelOps,Snowflake,8026050026,SF_BATCH_20260505,2026-05-21T09:02:00Z
PC-2026-0027,2026-05-07,2026-05-07T08:00:00Z,2026-05-07T22:00:00Z,2026-05-08T04:00:00Z,BCN01,ParcelCraft Barcelona Litoral,Barcelona,Este,Urban Hub,CUST-106,Adventure Hub,MidMarket,B2C,ECO,ECO,Economy,Low,72,False,28027,Barcelona,Este,R-BCN01-02,Van,6.1,5-10 kg,10.03,0.7,10.73,Delivered,1.0,SAP_ECC,Snowflake,8026050027,SF_BATCH_20260505,2026-05-21T09:09:00Z
PC-2026-0028,2026-05-07,2026-05-07T09:00:00Z,2026-05-07T23:00:00Z,,VAL02,ParcelCraft Valencia Norte,Valencia,Este,Regional Hub,CUST-107,MetroBooks,SMB,B2C,SAM,SAM,Same Day,Critical,12,False,28028,Valencia,Este,R-VAL02-01,Van,9.4,5-10 kg,16.32,1.14,17.46,Exception,2.0,SAP_S4,Snowflake,8026050028,SF_BATCH_20260505,2026-05-21T09:16:00Z
PC-2026-0029,2026-05-08,2026-05-08T10:00:00Z,2026-05-09T00:00:00Z,2026-05-09T06:00:00Z,SEV01,ParcelCraft Sevilla Cartuja,Sevilla,Sur,Regional Hub,CUST-108,GreenFoods Direct,Enterprise,B2B,EXP,EXP,Express,High,24,False,28029,Sevilla,Sur,R-SEV01-02,Van,12.7,10+ kg,13.71,0.96,14.67,Delivered,1.0,SAP_S4,Snowflake,8026050029,SF_BATCH_20260505,2026-05-21T09:23:00Z
PC-2026-0030,2026-05-08,2026-05-08T06:00:00Z,2026-05-08T20:00:00Z,2026-05-09T02:00:00Z,ZAR01,ParcelCraft Zaragoza Plataforma,Zaragoza,Noreste,National Hub,CUST-109,UrbanNest,SMB,B2C,ECO,STD,Standard,Normal,48,False,28030,Zaragoza,Noreste,R-ZAR01-01,Linehaul,0.8,0-1 kg,6.74,0.47,7.21,Returned,2.0,ParcelOps,Snowflake,8026050030,SF_BATCH_20260505,2026-05-21T09:30:00Z
PC-2026-0031,2026-05-08,2026-05-08T07:00:00Z,2026-05-08T21:00:00Z,2026-05-09T03:00:00Z,MAD01,ParcelCraft Madrid Centro,Madrid,Centro,Urban Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,EXP,Express,High,24,False,28031,Madrid,Centro,R-MAD01-02,Van,1.4,1-5 kg,10.32,0.72,11.04,Delivered,1.0,SAP_S4,Snowflake,8026050031,SF_BATCH_20260505,2026-05-21T09:37:00Z
PC-2026-0032,2026-05-08,2026-05-08T08:00:00Z,2026-05-08T22:00:00Z,,MAD02,ParcelCraft Madrid Sur,Fuenlabrada,Centro,Distribution Hub,CUST-101,Fabrikam Urban Shop,SMB,B2B,EXP,EXP,Express,High,24,False,28032,Fuenlabrada,Centro,R-MAD02-01,Van,3.2,1-5 kg,10.86,0.76,11.62,In Transit,0.0,SAP_ECC,Snowflake,8026050032,SF_BATCH_20260505,2026-05-21T09:44:00Z
PC-2026-0033,2026-05-09,2026-05-09T09:00:00Z,2026-05-09T23:00:00Z,2026-05-10T05:00:00Z,BCN01,ParcelCraft Barcelona Litoral,Barcelona,Este,Urban Hub,CUST-102,Alpine Electronics,Enterprise,B2B,STD,STD,Standard,Normal,48,False,28033,Barcelona,Este,R-BCN01-02,Van,6.1,5-10 kg,8.33,0.58,8.91,Delivered,1.0,SAP_ECC,Snowflake,8026050033,SF_BATCH_20260505,2026-05-21T09:51:00Z
PC-2026-0034,2026-05-09,2026-05-09T10:00:00Z,2026-05-10T00:00:00Z,,VAL02,ParcelCraft Valencia Norte,Valencia,Este,Regional Hub,CUST-103,CityCare Pharmacy,SMB,B2B,SAM,SAM,Same Day,Critical,12,False,28034,Valencia,Este,R-VAL02-01,Van,9.4,5-10 kg,16.32,1.14,17.46,In Transit,0.0,SAP_S4,Snowflake,8026050034,SF_BATCH_20260505,2026-05-21T09:58:00Z
PC-2026-0035,2026-05-09,2026-05-09T06:00:00Z,2026-05-09T20:00:00Z,2026-05-10T02:00:00Z,SEV01,ParcelCraft Sevilla Cartuja,Sevilla,Sur,Regional Hub,CUST-104,Contoso Market,MidMarket,B2B,STD,STD,Standard,Normal,48,False,28035,Sevilla,Sur,R-SEV01-02,Van,12.7,10+ kg,10.31,0.72,11.03,Delivered,1.0,ParcelOps,Snowflake,8026050035,SF_BATCH_20260505,2026-05-21T10:05:00Z
PC-2026-0036,2026-05-09,2026-05-09T07:00:00Z,2026-05-09T21:00:00Z,,ZAR01,ParcelCraft Zaragoza Plataforma,Zaragoza,Noreste,National Hub,CUST-105,BlueYonder Home,SMB,B2C,STD,STD,Standard,Normal,48,False,28036,Zaragoza,Noreste,R-ZAR01-01,Linehaul,0.8,0-1 kg,6.74,0.47,7.21,Exception,2.0,SAP_ECC,Snowflake,8026050036,SF_BATCH_20260505,2026-05-21T10:12:00Z
PC-2026-0037,2026-05-10,2026-05-10T08:00:00Z,2026-05-10T22:00:00Z,2026-05-11T04:00:00Z,MAD01,ParcelCraft Madrid Centro,Madrid,Centro,Urban Hub,CUST-106,Adventure Hub,MidMarket,B2C,ECO,ECO,Economy,Low,72,False,28037,Madrid,Centro,R-MAD01-02,Van,1.4,1-5 kg,8.62,0.6,9.22,Delivered,1.0,ParcelOps,Snowflake,8026050037,SF_BATCH_20260505,2026-05-21T10:19:00Z
PC-2026-0038,2026-05-10,2026-05-10T09:00:00Z,2026-05-10T23:00:00Z,2026-05-11T05:00:00Z,MAD02,ParcelCraft Madrid Sur,Fuenlabrada,Centro,Distribution Hub,CUST-107,MetroBooks,SMB,B2C,SAM,SAM,Same Day,Critical,12,False,28038,Fuenlabrada,Centro,R-MAD02-01,Van,3.2,1-5 kg,14.46,1.01,15.47,Returned,2.0,ParcelOps,Snowflake,8026050038,SF_BATCH_20260505,2026-05-21T10:26:00Z
PC-2026-0039,2026-05-10,2026-05-10T10:00:00Z,2026-05-11T00:00:00Z,2026-05-11T06:00:00Z,BCN01,ParcelCraft Barcelona Litoral,Barcelona,Este,Urban Hub,CUST-108,GreenFoods Direct,Enterprise,B2B,EXP,EXP,Express,High,24,False,28039,Barcelona,Este,R-BCN01-02,Van,6.1,5-10 kg,11.73,0.82,12.55,Delivered,1.0,SAP_S4,Snowflake,8026050039,SF_BATCH_20260505,2026-05-21T10:33:00Z
PC-2026-0040,2026-05-10,2026-05-10T06:00:00Z,2026-05-10T20:00:00Z,,VAL02,ParcelCraft Valencia Norte,Valencia,Este,Regional Hub,CUST-109,UrbanNest,SMB,B2C,ECO,STD,Standard,Normal,48,False,28040,Valencia,Este,R-VAL02-01,Van,9.4,5-10 kg,9.32,0.65,9.97,In Transit,0.0,ParcelOps,Snowflake,8026050040,SF_BATCH_20260505,2026-05-21T10:40:00Z
PC-2026-0011,2026-05-03,2026-05-03T07:00:00Z,2026-05-03T21:00:00Z,2026-05-04T03:00:00Z,SEV01,ParcelCraft Sevilla Cartuja,Sevilla,Sur,Regional Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,EXP,Express,High,24,False,28011,Sevilla,Sur,R-SEV01-02,Van,12.7,10+ kg,13.71,0.96,14.67,Delivered,1.0,SAP_S4,Snowflake,8026050011,SF_BATCH_20260505,2026-05-21T09:17:00Z
PC-2026-0022,2026-05-06,2026-05-06T08:00:00Z,2026-05-06T22:00:00Z,2026-05-07T04:00:00Z,VAL02,ParcelCraft Valencia Norte,Valencia,Este,Regional Hub,CUST-101,Fabrikam Urban Shop,SMB,B2B,EXP,EXP,Express,High,24,False,28022,Valencia,Este,R-VAL02-01,Van,9.4,5-10 kg,12.72,0.89,13.61,Returned,2.0,SAP_S4,Snowflake,8026050022,SF_BATCH_20260505,2026-05-21T10:34:00Z
PC-2026-0041,2026-05-11,2026-05-11T08:00:00Z,2026-05-11T22:00:00Z,2026-05-12T04:00:00Z,SEV01,ParcelCraft Sevilla Cartuja,Sevilla,Sur,Regional Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,EXP,Express,High,24,False,28141,Sevilla,Sur,R-SEV01-02,Van,1.2,1-5 kg,10.32,0.72,11.04,Delivered,1.0,ParcelOps,Snowflake,8026050041,SF_BATCH_20260505,2026-05-21T07:41:00Z
PC-2026-0042,2026-05-11,2026-05-11T08:00:00Z,2026-05-11T22:00:00Z,,ZAR01,ParcelCraft Zaragoza Plataforma,Zaragoza,Noreste,National Hub,CUST-101,Fabrikam Urban Shop,SMB,B2B,EXP,EXP,Express,High,24,False,28142,Zaragoza,Noreste,R-ZAR01-01,Linehaul,4.8,1-5 kg,11.58,0.81,12.39,Exception,2.0,ParcelOps,Snowflake,8026050042,SF_BATCH_20260505,2026-05-21T07:42:00Z
PC-2026-0043,2026-05-12,2026-05-12T08:00:00Z,2026-05-12T22:00:00Z,2026-05-13T04:00:00Z,MAD01,ParcelCraft Madrid Centro,Madrid,Centro,Urban Hub,CUST-102,Alpine Electronics,Enterprise,B2B,STD,STD,Standard,Normal,48,False,28143,Madrid,Centro,R-MAD01-02,Van,6.1,5-10 kg,8.63,0.6,9.23,Delivered,1.0,SAP_S4,Snowflake,8026050043,SF_BATCH_20260505,2026-05-21T07:43:00Z
PC-2026-0044,2026-05-12,2026-05-12T08:00:00Z,2026-05-12T22:00:00Z,2026-05-13T04:00:00Z,MAD02,ParcelCraft Madrid Sur,Fuenlabrada,Centro,Distribution Hub,CUST-103,CityCare Pharmacy,SMB,B2B,SAM,SAM,Same Day,Critical,12,False,28144,Fuenlabrada,Centro,R-MAD02-01,Van,1.0,0-1 kg,13.85,0.97,14.82,Delivered,1.0,SAP_ECC,Snowflake,8026050044,SF_BATCH_20260505,2026-05-21T07:44:00Z
PC-2026-0045,2026-05-13,2026-05-13T08:00:00Z,2026-05-13T22:00:00Z,,BCN01,ParcelCraft Barcelona Litoral,Barcelona,Este,Urban Hub,CUST-104,Contoso Market,MidMarket,B2B,STD,STD,Standard,Normal,48,False,28145,Barcelona,Este,R-BCN01-02,Van,15.4,10+ kg,11.89,0.83,12.72,In Transit,0.0,SAP_S4,Snowflake,8026050045,SF_BATCH_20260505,2026-05-21T07:45:00Z
PC-2026-0046,2026-05-13,2026-05-13T08:00:00Z,2026-05-13T22:00:00Z,2026-05-14T04:00:00Z,VAL02,ParcelCraft Valencia Norte,Valencia,Este,Regional Hub,CUST-105,BlueYonder Home,SMB,B2C,STD,STD,Standard,Normal,48,False,28146,Valencia,Este,R-VAL02-01,Van,0.8,0-1 kg,6.78,0.47,7.25,Delivered,1.0,ParcelOps,Snowflake,8026050046,SF_BATCH_20260505,2026-05-21T07:46:00Z
PC-2026-0022,2026-05-06,2026-05-06T08:00:00Z,2026-05-06T22:00:00Z,2026-05-12T17:00:00Z,VAL02,ParcelCraft Valencia Norte,Valencia,Este,Regional Hub,CUST-101,Fabrikam Urban Shop,SMB,B2B,EXP,EXP,Express,High,24,False,28022,Valencia,Este,R-VAL02-01,Van,9.4,5-10 kg,12.72,0.89,13.61,Delivered,2.0,SAP_S4,Snowflake,8026050022,SF_BATCH_20260505,2026-05-21T09:30:00Z
